study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Mariah Carey,c,,,0,0,0,15,,,,,0.029189249995397404,,0.01585287498892285,0.029189249995397404,1.0142637499957345,1.0142637499957345,1.028741624992108,3.0806280830001924,1.0711111111111111,3.046691458002897,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Amelia O'Brien,un,,,0,1,1,19,,,,,3.0935384159965906,,3.0809930829855148,3.0935384159965906,4.089071750000585,4.089071750000585,4.1002731249900535,5.96780016599223,5,2.8699234999949113,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Lindsay Lohan,c,,,0,2,2,14,,,,,5.978849082981469,,5.9680320829793345,5.978849082981469,6.971248915971955,6.971248915971955,6.982309957995312,8.767771249986254,1.1333333333333333,2.7846483750035986,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Garcia Rodiguez,un,,,0,3,3,21,,,,,8.780947207997087,,8.767991124972468,8.780947207997087,9.770590957981767,9.770590957981767,9.781617457978427,11.414319832983892,5,2.626528042019345,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
George Bush,cs,,,0,4,4,8,,,,,11.424708999984432,,11.414550249988679,11.424708999984432,12.422321291000117,12.422321291000117,12.43364812497748,14.264193249982782,4.048888888888889,2.8326635420089588,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Kate Winslow,c,,,0,5,5,10,,,,,14.275908957992215,,14.264412165997783,14.275908957992215,15.27123837498948,15.27123837498948,15.282152665982721,17.180545749986777,1,2.8979877500096336,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
daniel carr,un,,,0,6,6,17,,,,,17.190946540998993,,17.180789790989365,17.190946540998993,18.188112915988313,18.188112915988313,18.1990966249723,20.847779540985357,5,3.6496693750086706,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Rita Mulaney,un,,,0,7,7,20,,,,,20.85893170797499,,20.847998957993696,20.85893170797499,21.855291082989424,21.855291082989424,21.86624204099644,25.564483707974432,4.902222222222222,4.699138124997262,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
oliver murphy ,un,,,0,8,8,18,,,,,25.576594082987867,,25.564703040989116,25.576594082987867,26.56956537498627,26.56956537498627,26.581427749973955,28.03522074999637,5.0,2.4549810420139693,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Christiano Ronaldo,c,,,0,9,9,13,,,,,28.045714290987235,,28.03544116599369,28.045714290987235,29.038558999978704,29.038558999978704,29.049655915994663,31.581130999984453,1,3.528250792005565,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Vin Diesel,cs,,,0,10,10,1,,,,,31.59257433298626,,31.581382082978962,31.59257433298626,32.58812670799671,32.58812670799671,32.59934529097518,33.93646566598909,1.0577777777777777,2.3391281670192257,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Oprah Winfer,c,,,0,11,11,12,,,,,33.947463790973416,,33.93668387498474,33.947463790973416,34.93815899998299,34.93815899998299,34.949322832981125,36.54752437499701,1,2.594374415988568,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
Emma Stone,cs,,,0,12,12,5,,,,,36.55889020799077,,36.54774583299877,36.55889020799077,37.554649915982736,37.554649915982736,37.565981124993414,38.38157895798213,1,1.8146127079962753,,,,,,,,,,,,Participant 1 khushi,001,2023-11-26_12h08.08.188,soloprojectsharanya,2023.2.1,120.39102959383793,2023-11-26 12h08.24.704610 +0530,
