study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Jennifer Aniston,c,,,0,0,0,16,,,,,0.031162125000264496,,0.01861950001330115,0.031162125000264496,1.0232531250221655,1.0232531250221655,1.037867292005103,5.523015834012767,4.973333333333334,5.486268166016089,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Kate Winslow,c,,,0,1,1,10,,,,,5.535297709022416,,5.5233707500156015,5.535297709022416,6.5310675840009935,6.5310675840009935,6.542185750004137,6.959671042015543,4.973333333333334,1.420257332996698,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Garcia Rodiguez,un,,,0,2,2,21,,,,,6.973415750020649,,6.959896667016437,6.973415750020649,7.963788792025298,7.963788792025298,7.974899125023512,8.409471500024665,4.977777777777778,1.432009417010704,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
John Legend,cs,,,0,3,3,9,,,,,8.421284292009659,,8.40969020902412,8.421284292009659,9.41327225000714,9.41327225000714,9.424525459005963,9.939756500010844,4.977777777777778,1.5110609580005985,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Rachel Green,cs,,,0,4,4,7,,,,,9.949928750022082,,9.939987042016583,9.949928750022082,10.94693350000307,10.94693350000307,10.958011500013527,14.278259625018109,3.924444444444444,4.323292957997182,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Vin Diesel,cs,,,0,5,5,1,,,,,14.289898959017592,,14.278495125006884,14.289898959017592,15.280493625003146,15.280493625003146,15.291737999999896,17.389394124998944,3.022222222222222,3.092995874991175,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Robin Cook,cs,,,0,6,6,2,,,,,17.40188250000938,,17.38962829200318,17.40188250000938,18.39692104200367,18.39692104200367,18.40813387502567,20.24364508400322,5,2.8376776250079274,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Dwayne Johnson,c,,,0,7,7,11,,,,,20.254605834023096,,20.243888292025076,20.254605834023096,21.24733633402502,21.24733633402502,21.258289875026094,22.327536084019812,5,2.068477458989946,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
Halle Berry,cs,,,0,8,8,0,,,,,22.339614500000607,,22.327761125023244,22.339614500000607,23.330558167013805,23.330558167013805,23.341680292011006,24.026808500027983,5,1.6832458749995567,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
oliver murphy ,un,,,0,9,9,18,,,,,24.0541426250129,,24.027032292011427,24.0541426250129,25.030123459000606,25.030123459000606,25.054469042021083,25.840278709016275,5,1.7935169590055011,,,,,,,,,,,,Participant 10 Pushkar,001,2023-11-26_16h49.13.168,soloprojectsharanya,2023.2.1,None,2023-11-26 16h49.32.664378 +0530,
