study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,studytext.stopped,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Jennifer Aniston,c,,,0,0,0,16,,,,,0.02889704200788401,,0.015695084002800286,0.02889704200788401,1.0317702920001466,1.0317702920001466,1.042825292010093,4.103712792013539,1.0133333333333334,4.0683137079759035,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Stephen King,cs,,,0,1,1,3,,,,,4.116697709017899,,4.10408370901132,4.116697709017899,5.120431125018513,5.120431125018513,5.134152542013908,7.10363141700509,1.0355555555555556,2.9777875000145286,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Emma Stone,cs,,,0,2,2,5,,,,,7.114995459007332,,7.103861709008925,7.114995459007332,8.120098959014285,8.120098959014285,8.134156709013041,9.220185292011593,1.0355555555555556,2.094393167004455,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Robin Cook,cs,,,0,3,3,2,,,,,9.232997500017518,,9.220417584001552,9.232997500017518,10.23721000002115,10.23721000002115,10.250949959008722,12.603455083997687,1,3.361679291992914,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Dwayne Johnson,c,,,0,4,4,11,,,,,12.614732250018278,,12.603685917012626,12.614732250018278,13.620857834001072,13.620857834001072,13.634287584020058,16.02038329199422,1.0266666666666666,3.3950735830003396,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
oliver murphy ,un,,,0,5,5,18,,,,,16.032962750003207,,16.02061649999814,16.032962750003207,17.03745645901654,17.03745645901654,17.051087500003632,19.23728862500866,1.9555555555555555,3.195773499988718,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Rita Mulaney,un,,,0,6,6,20,,,,,19.248911542003043,,19.237526584009174,19.248911542003043,20.255140791996382,20.255140791996382,20.267812209000112,24.286939250014257,4.933333333333334,5.029681083018659,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
James Bond,cs,,,0,7,7,6,,,,,24.297726499993587,,24.287159208994126,24.297726499993587,25.304283709003357,25.304283709003357,25.31792362499982,27.503919917013263,1.0755555555555556,3.1970010419900063,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Vin Diesel,cs,,,0,8,8,1,,,,,27.51569525001105,,27.504154167021625,27.51569525001105,28.521737083996413,28.521737083996413,28.534636666998267,29.786980584001867,1.0266666666666666,2.263756290980382,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Amelia O'Brien,un,,,0,9,9,19,,,,,29.798303459014278,,29.787200167018455,29.798303459014278,30.803777624998474,30.803777624998474,30.81795416699606,35.970705042011105,3.0844444444444443,6.163475917011965,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Rachel Green,cs,,,0,10,10,7,,,,,35.982083084003534,,35.97093666699948,35.982083084003534,36.98791325002094,36.98791325002094,37.00151741699665,39.35426275001373,1,3.363035041023977,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
daniel carr,un,,,0,11,11,17,,,,,39.365352209017146,,39.354494208993856,39.365352209017146,40.371223416994326,40.371223416994326,40.38485525001306,46.00409137501265,4.004444444444444,6.6309510840219446,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Kate Winslow,c,,,0,12,12,10,,,,,46.01512733401614,,46.00430920900544,46.01512733401614,47.02236520900624,47.02236520900624,47.03509474999737,49.42102550002164,1,3.3966694159898907,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
George Bush,cs,,,0,13,13,8,,,,,49.431101833994035,,49.4212447500031,49.431101833994035,50.43895895901369,50.43895895901369,50.45171824999852,54.1045202499954,1.0044444444444445,4.6644180419971235,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
Lindsay Lohan,c,,,0,14,14,14,,,,,54.1160048340098,,54.10475370901986,54.1160048340098,55.12133720901329,55.12133720901329,55.13517595900339,56.821728042006725,2.0044444444444443,2.6966490000195336,,,,,,,,,,,,,Participant 2 Hridaya ,001,2023-11-26_12h53.54.623,soloprojectsharanya,2023.2.1,119.8360044068917,2023-11-26 12h54.30.028231 +0530,
