study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Mariah Carey,c,,,0,0,0,15,,,,,0.027842416981002316,,0.014190707996021956,0.027842416981002316,1.0144883329921868,1.0144883329921868,1.0253451669996139,6.835961957986001,1,6.802111875003902,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
George Bush,cs,,,0,1,1,8,,,,,6.848856791999424,,6.836337332992116,6.848856791999424,7.842427958006738,7.842427958006738,7.8532567500078585,8.769464416982373,1,1.9122795419825707,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Robin Cook,cs,,,0,2,2,2,,,,,8.781772541988175,,8.769698666990735,8.781772541988175,9.776156249979977,9.776156249979977,9.787076791981235,10.552695708000101,1,1.7625842919806018,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Christiano Ronaldo,c,,,0,3,3,13,,,,,10.56462766698678,,10.552932874998078,10.56462766698678,11.559024416987086,11.559024416987086,11.569658207998145,14.735666791995754,1,4.165453333000187,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Tom Cruise,cs,,,0,4,4,4,,,,,14.747292416985147,,14.735887582995929,14.747292416985147,15.742138208006509,15.742138208006509,15.75297958299052,16.585988374979934,1,1.8306073749845382,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Rachel Green,cs,,,0,5,5,7,,,,,16.597678916994482,,16.586224792001303,16.597678916994482,17.592284249985823,17.592284249985823,17.60323704199982,18.46944774998701,1,1.8637736660020892,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Amelia O'Brien,un,,,0,6,6,19,,,,,18.481710583000677,,18.46966845798306,18.481710583000677,19.475407374993665,19.475407374993665,19.486713374993997,22.218959332996747,4.951111111111111,3.7294125420157798,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Dwayne Johnson,c,,,0,7,7,11,,,,,22.230851500004064,,22.219220875005703,22.230851500004064,23.22603520800476,23.22603520800476,23.23711133300094,25.23592199999257,1.0755555555555556,2.999085167015437,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Kate Winslow,c,,,0,8,8,10,,,,,25.247515875002136,,25.236144916998455,25.247515875002136,26.24130024999613,26.24130024999613,26.25309145799838,27.702585457998794,5,2.4469095829990692,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
Terrence Peterson,un,,,0,9,9,22,,,,,27.713811499997973,,27.702807416993892,27.713811499997973,28.708839708007872,28.708839708007872,28.722112582996488,32.769638541998575,5,5.04847308297758,,,,,,,,,,,,Participant 3 Saanjaly,001,2023-11-26_13h10.42.376,soloprojectsharanya,2023.2.1,120.92989139881966,2023-11-26 13h11.21.803012 +0530,
