study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,studytext.stopped,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Mariah Carey,c,,,0,0,0,15,,,,,0.027451083005871624,,0.014273500011768192,0.027451083005871624,1.024615458009066,1.024615458009066,1.0355190410045907,3.696383083006367,1,3.662594250024995,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Allan Carter,un,,,0,1,1,23,,,,,3.7083679159986787,,3.69673166598659,3.7083679159986787,4.71478416598984,4.71478416598984,4.727372583001852,9.379978375014616,4.031111111111111,5.663160958007211,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
George Bush,cs,,,0,2,2,8,,,,,9.392657582997344,,9.380211415991653,9.392657582997344,10.397377832996426,10.397377832996426,10.410797165997792,11.96325987498858,1.0266666666666666,2.5623274999961723,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Amelia O'Brien,un,,,0,3,3,19,,,,,11.975260790990433,,11.963481457991293,11.975260790990433,12.981091749999905,12.981091749999905,12.994272540992824,15.38047187498887,4.964444444444444,3.3961705840192735,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Vin Diesel,cs,,,0,4,4,1,,,,,15.392609083006391,,15.380701290996512,15.392609083006391,16.397474208002677,16.397474208002677,16.41094291600166,18.313389249989996,1.0355555555555556,2.912872500019148,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
daniel carr,un,,,0,5,5,17,,,,,18.32461554100155,,18.313609957986046,18.32461554100155,19.330072624987224,19.330072624987224,19.34436420799466,22.363444624992553,3.986666666666667,4.030287083005533,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
oliver murphy ,un,,,0,6,6,18,,,,,22.37560445800773,,22.363675083004637,22.37560445800773,23.380835957999807,23.380835957999807,23.39440133300377,27.397012915986124,4.9911111111111115,5.013718458008952,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Stephen King,cs,,,0,7,7,3,,,,,27.408335499989334,,27.39723266600049,27.408335499989334,28.414759290986694,28.414759290986694,28.427891875006026,30.413612875010585,1.0044444444444445,2.996474000014132,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
James Bond,cs,,,0,8,8,6,,,,,30.424706082994817,,30.41382883299957,30.424706082994817,31.430585499998415,31.430585499998415,31.444598790985765,32.697049165988574,1.0044444444444445,2.2639614999934565,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
John Legend,cs,,,0,9,9,9,,,,,32.70788362500025,,32.69728100000066,32.70788362500025,33.714524749986595,33.714524749986595,33.72794841599534,34.447111124987714,1.0044444444444445,1.7306004999845754,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Tom Cruise,cs,,,0,10,10,4,,,,,34.457969250011956,,34.44733183301287,34.457969250011956,35.4649992499908,35.4649992499908,35.47807149999426,36.09677800000645,1.0044444444444445,1.6300707499904092,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Emma Stone,cs,,,0,11,11,5,,,,,36.108193124993704,,36.09703666600399,36.108193124993704,37.11458454100648,37.11458454100648,37.12799962499412,38.847247833007714,1.0044444444444445,2.73026637500152,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Rachel Green,cs,,,0,12,12,7,,,,,38.85884500000975,,38.84746525000082,38.85884500000975,39.86452062500757,39.86452062500757,39.8780598329904,40.780751790996874,1.0044444444444445,1.911562832974596,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Oprah Winfer,c,,,0,13,13,12,,,,,40.79306395800086,,40.78098174999468,40.79306395800086,41.79760616598651,41.79760616598651,41.81141537500662,52.48141283300356,1.0222222222222221,11.677256958995713,49.801013749995036,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Christiano Ronaldo,c,,,0,14,14,13,,,,,52.4922139160044,,52.48166029099957,52.4922139160044,53.49661458301125,53.49661458301125,53.512285250006244,55.69759279099526,1.008888888888889,3.1966376249911264,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Dwayne Johnson,c,,,0,15,15,11,,,,,55.70846649998566,,55.69782370800385,55.70846649998566,56.714688375010155,56.714688375010155,56.72842204099288,57.41412679100176,1.008888888888889,1.697486166987801,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Jennifer Aniston,c,,,0,16,16,16,,,,,57.424190833000466,,57.414343874988845,57.424190833000466,58.43179141599103,58.43179141599103,58.44512449999456,59.56424020801205,1.008888888888889,2.130818375007948,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
Kate Winslow,c,,,0,17,17,10,,,,,59.57488529098919,,59.564469291013665,59.57488529098919,60.58246445801342,60.58246445801342,60.59466750000138,63.397593333007535,3.0,3.8144461670017336,,,,,,,,,,,,,Participant 4 Meghna,001,2023-11-26_13h15.56.306,soloprojectsharanya,2023.2.1,120.95122139319686,2023-11-26 13h16.15.906689 +0530,
