study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Robin Cook,cs,,,0,0,0,2,,,,,0.026941124990116805,,0.013948125008028,0.026941124990116805,1.022318292001728,1.022318292001728,1.0335489169810899,5.9368879169924185,1.0177777777777777,5.903129000012996,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Rachel Green,cs,,,0,1,1,7,,,,,5.94947887500166,,5.937264167005196,5.94947887500166,6.9549679170013405,6.9549679170013405,6.967731249984354,8.270108833996346,1.0177777777777777,2.312104290991556,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Jennifer Aniston,c,,,0,2,2,16,,,,,8.281424374989001,,8.27032833400881,8.281424374989001,9.28730154200457,9.28730154200457,9.301088374981191,10.020196500001475,1.0177777777777777,1.7302908329875208,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Rita Mulaney,un,,,0,3,3,20,,,,,10.031944208982168,,10.020423167006811,10.031944208982168,11.037655041989638,11.037655041989638,11.05111400000169,17.037009874999058,3.9733333333333336,6.996238416002598,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Terrence Peterson,un,,,0,4,4,22,,,,,17.048934749996988,,17.037234708986944,17.048934749996988,18.05368300000555,18.05368300000555,18.068241583998315,21.253745124995476,3.008888888888889,4.1971150420140475,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Halle Berry,cs,,,0,5,5,0,,,,,21.265297208999982,,21.25397433398757,21.265297208999982,22.271493916981854,22.271493916981854,22.284637999982806,24.4037872919871,1,3.1296007499913685,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
oliver murphy ,un,,,0,6,6,18,,,,,24.41534804200637,,24.404032499995083,24.41534804200637,25.421629958989797,25.421629958989797,25.434839374996955,29.8717123339884,4.022222222222222,5.4465864170051645,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
George Bush,cs,,,0,7,7,8,,,,,29.882714624982327,,29.871947542007547,29.882714624982327,30.888544624991482,30.888544624991482,30.90147874999093,35.25427520900848,2.013333333333333,5.360908750008093,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Garcia Rodiguez,un,,,0,8,8,21,,,,,35.26623766700504,,35.25450974999694,35.26623766700504,36.27179066700046,36.27179066700046,36.28495445899898,38.9207891249971,4.982222222222222,3.646101791993715,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Tom Cruise,cs,,,0,9,9,4,,,,,38.93127587498748,,38.92102074998547,38.93127587498748,39.93852195900399,39.93852195900399,39.951069250004366,41.671702458988875,1,2.7313778749958146,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Emma Stone,cs,,,0,10,10,5,,,,,41.68295345900697,,41.67193479198613,41.68295345900697,42.68860370898619,42.68860370898619,42.70127904199762,44.32115404200158,1.0533333333333332,2.6267092499765567,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Vin Diesel,cs,,,0,11,11,1,,,,,44.3325980840018,,44.32140374998562,44.3325980840018,45.33891679198132,45.33891679198132,45.35185816700687,45.95502041699365,1.0533333333333332,1.6131517909816466,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Oprah Winfer,c,,,0,12,12,12,,,,,45.966648333997,,45.95525408399408,45.966648333997,46.97150654200232,46.97150654200232,46.98522691699327,47.62113975000102,1.0533333333333332,1.645286208979087,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Christiano Ronaldo,c,,,0,13,13,13,,,,,47.63207995900302,,47.6213602089847,47.63207995900302,48.63921170899994,48.63921170899994,48.65191699998104,50.63805462498567,2.991111111111111,2.997251916996902,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Kate Winslow,c,,,0,14,14,10,,,,,50.649355834000744,,50.63827404199401,50.649355834000744,51.65502062498126,51.65502062498126,51.66867329200613,54.32138224999653,1.951111111111111,3.6636576669989154,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
daniel carr,un,,,0,15,15,17,,,,,54.33151150000049,,54.32161604199791,54.33151150000049,55.33791037500487,55.33791037500487,55.35209945900715,57.75490758399246,3.0355555555555553,3.412559999997029,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
James Bond,cs,,,0,16,16,6,,,,,57.765386291983305,,57.75513970898464,57.765386291983305,58.77181320899399,58.77181320899399,58.78551716700895,60.38814833399374,1,2.6137210839951877,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Amelia O'Brien,un,,,0,17,17,19,,,,,60.3993453340081,,60.388368499989156,60.3993453340081,61.40515583398519,61.40515583398519,61.41887779199169,63.65477062499849,3.991111111111111,3.2470718750264496,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Allan Carter,un,,,0,18,18,23,,,,,63.66487249999773,,63.65500387499924,63.66487249999773,64.67154049998499,64.67154049998499,64.68574099999387,67.69155458398745,2.017777777777778,4.0221245829889085,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Lindsay Lohan,c,,,0,19,19,14,,,,,67.70260412499192,,67.69177295899135,67.70260412499192,68.70639704199857,68.70639704199857,68.7186348339892,70.30566620899481,1,2.5931246670079418,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Mariah Carey,c,,,0,20,20,15,,,,,70.31643358399742,,70.3058993339946,70.31643358399742,71.3225969169871,71.3225969169871,71.33574104198487,72.08912266700645,1,1.7633468749991152,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Stephen King,cs,,,0,21,21,3,,,,,72.10005762500805,,72.08935454199673,72.10005762500805,73.10580016698805,73.10580016698805,73.11913599999389,74.13825545899454,1,2.030258250015322,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
John Legend,cs,,,0,22,22,9,,,,,74.14850104198558,,74.13848979200702,74.14850104198558,75.15599391699652,75.15599391699652,75.16912087498349,76.60507312498521,1,2.447905749984784,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
Dwayne Johnson,c,,,0,23,23,11,,,,,76.6153559589875,,76.6053049589973,76.6153559589875,77.62229937498341,77.62229937498341,77.63593774999026,78.30494408399682,1,1.6804840420081746,,,,,,,,,,,,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
,,contrivial,pw,,,,,0,0,0,31,86.32891079198453,,,,,,,,,,78.30508600000758,78.3106564169866,86.32891079198453,86.30408266698942,86.32001941700582,87.31184454198228,87.31184454198228,90.70293566698092,n,3.3626045839919243,None,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
,,abary,pw,,,,,0,1,1,17,90.71638533400255,,,,,,,,,,,,,,90.70376562498859,91.71091075000004,91.71091075000004,93.07126866700128,n,1.3589700000011362,None,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
,,King,cwp,,,,,0,2,2,2,93.09063295900705,,,,,,,,,,,,,,93.07197229200392,94.07894395900075,94.07894395900075,94.63745066698175,y,0.5542894590180367,None,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
,,laptop,cwu,,,,,0,3,3,14,94.64829349998035,,,,,,,,,,,,,,94.63803237499087,95.64517295898986,95.64517295898986,96.18778495898005,y,0.5413585829955991,None,Partici[ant 5 Rithu,001,2023-11-26_14h44.17.864,soloprojectsharanya,2023.2.1,121.01031557683706,2023-11-26 14h44.33.066945 +0530,
