study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Mariah Carey,c,,,0,0,0,15,,,,,0.02670070799649693,,0.013886165979783982,0.02670070799649693,1.023418374999892,1.023418374999892,1.036698832991533,3.072434790985426,1,3.039131917001214,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Vin Diesel,cs,,,0,1,1,1,,,,,3.0843038329912815,,3.072800833004294,3.0843038329912815,4.0900801660027355,4.0900801660027355,4.103413957986049,5.272676207998302,1.0044444444444445,2.1796872499980964,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Oprah Winfer,c,,,0,2,2,12,,,,,5.284445166005753,,5.272912540996913,5.284445166005753,6.289694624982076,6.289694624982076,6.3034363749902695,8.806759333005175,1.0044444444444445,3.5125961669837125,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Tom Cruise,cs,,,0,3,3,4,,,,,8.818701290991157,,8.806994957994903,8.818701290991157,9.823206125001889,9.823206125001889,9.836877499998081,11.506157708005048,1.0,2.6785425420093816,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
daniel carr,un,,,0,4,4,17,,,,,11.517393249989254,,11.506394208001439,11.517393249989254,12.52366979100043,12.52366979100043,12.536967874999391,16.089708332990995,3.986666666666667,4.562869042012608,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Allan Carter,un,,,0,5,5,23,,,,,16.10054799998761,,16.089943790982943,16.10054799998761,17.107286582991946,17.107286582991946,17.120346249983413,19.039615999994567,3.026666666666667,2.9297524160065223,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
John Legend,cs,,,0,6,6,9,,,,,19.05240237500402,,19.03985170798842,19.05240237500402,20.056519332982134,20.056519332982134,20.07044749998022,22.072955540992552,1.0044444444444445,3.012901916023111,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Lindsay Lohan,c,,,0,7,7,14,,,,,22.08443091600202,,22.073190249997424,22.08443091600202,23.09071474999655,23.09071474999655,23.10381270799553,24.3064592499868,1.0044444444444445,2.211534749978455,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Halle Berry,cs,,,0,8,8,0,,,,,24.318313291005325,,24.30670275000739,24.318313291005325,25.324439374991925,25.324439374991925,25.337278124992736,28.439817165985005,3.982222222222222,4.112716084026033,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
Christiano Ronaldo,c,,,0,9,9,13,,,,,28.451010040997062,,28.44005212499178,28.451010040997062,29.457404957996914,29.457404957996914,29.470581165980548,31.556554374983534,1,3.096333791996585,,,,,,,,,,,,Participant 6 Choekyi,001,2023-11-26_14h49.21.945,soloprojectsharanya,2023.2.1,120.82414094704718,2023-11-26 14h49.51.886346 +0530,
