study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Christiano Ronaldo,c,,,0,0,0,13,,,,,0.027181125013157725,,0.014025625016074628,0.027181125013157725,1.0143825830018613,1.0143825830018613,1.027040166023653,7.133856791013386,1.0266666666666666,7.103967041999567,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Tom Cruise,cs,,,0,1,1,4,,,,,7.146299041021848,,7.134212750010192,7.146299041021848,8.134519458020804,8.134519458020804,8.144886291003786,10.180036125006154,1.0044444444444445,3.0271814170118887,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Halle Berry,cs,,,0,2,2,0,,,,,10.192342708003707,,10.180258666019654,10.192342708003707,11.187329083011718,11.187329083011718,11.198322333017131,12.279780625016429,1.0044444444444445,2.0800751670030877,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Lindsay Lohan,c,,,0,3,3,14,,,,,12.290792208019411,,12.280017500015674,12.290792208019411,13.28615116601577,13.28615116601577,13.299913583003217,14.067367000010563,1.0044444444444445,1.7722192090004683,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
oliver murphy ,un,,,0,4,4,18,,,,,14.094263541017426,,14.067588041012641,14.094263541017426,15.069713583012344,15.069713583012344,15.09444254101254,18.179761250008596,5,4.094434957980411,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Oprah Winfer,c,,,0,5,5,12,,,,,18.191575041011674,,18.18003104100353,18.191575041011674,19.1875072500261,19.1875072500261,19.19829637501971,26.013406041020062,1,7.813464834005572,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Rita Mulaney,un,,,0,6,6,20,,,,,26.024629458028357,,26.013648208027007,26.024629458028357,27.01939312502509,27.01939312502509,27.032968833023915,29.13014083300368,5,3.0986612910055555,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Amelia O'Brien,un,,,0,7,7,19,,,,,29.142082291014958,,29.13036216600449,29.142082291014958,30.135648375027813,30.135648375027813,30.14727454102831,32.34662875000504,5,3.1989474580041133,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Vin Diesel,cs,,,0,8,8,1,,,,,32.35878350000712,,32.34685025000363,32.35878350000712,33.35249216601369,33.35249216601369,33.36594154100749,35.33003300000564,1,2.9651641249947716,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Jennifer Aniston,c,,,0,9,9,16,,,,,35.34182229102589,,35.33030487500946,35.34182229102589,36.33660179100116,36.33660179100116,36.34856037501595,37.28010083301342,1,1.9321804580104072,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
Terrence Peterson,un,,,0,10,10,22,,,,,37.2919145830092,,37.280321625003126,37.2919145830092,38.28745087501011,38.28745087501011,38.30095779101248,40.28006179101067,5,2.9819565409852657,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
James Bond,cs,,,0,11,11,6,,,,,40.290313416015124,,40.28028258300037,40.290313416015124,41.28726937502506,41.28726937502506,41.30100708300597,42.480170666007325,1.0,2.1826760830008425,,,,,,,,,,,,Participant 7 Siya,001,2023-11-26_15h02.45.031,soloprojectsharanya,2023.2.1,119.84623729264307,2023-11-26 15h03.12.207921 +0530,
