study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Rachel Green,cs,,,0,0,0,7,,,,,0.039601042022695765,,0.015427375008584931,0.039601042022695765,1.0538268340169452,1.0538268340169452,1.0621794170001522,3.869226125010755,1,3.837687665974954,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
daniel carr,un,,,0,1,1,17,,,,,3.879762334021507,,3.869582334009465,3.879762334021507,4.871175084001152,4.871175084001152,4.882381709001493,6.767912000010256,5,2.8836794999951962,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Robin Cook,cs,,,0,2,2,2,,,,,6.77966212501633,,6.768138667015592,6.77966212501633,7.769075125019299,7.769075125019299,7.779687959002331,9.802821667020908,4.1466666666666665,3.0189030840119813,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Mariah Carey,c,,,0,3,3,15,,,,,9.815855000022566,,9.803043749998324,9.815855000022566,10.804212500021094,10.804212500021094,10.816135041997768,12.36955595901236,2.3822222222222225,2.550523250014521,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
John Legend,cs,,,0,4,4,9,,,,,12.381665834021987,,12.36979320901446,12.381665834021987,13.3736674170068,13.3736674170068,13.3846985840064,14.415830334008206,2.008888888888889,2.0263987500220537,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
oliver murphy ,un,,,0,5,5,18,,,,,14.428194000007352,,14.416066792007769,14.428194000007352,15.420162709022406,15.420162709022406,15.446955874998821,17.398969083995325,3.9155555555555557,2.963725625013467,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Oprah Winfer,c,,,0,6,6,12,,,,,17.410388792020967,,17.399191667005653,17.410388792020967,18.40578766699764,18.40578766699764,18.41655812499812,19.93196558402269,1,2.5148082920059096,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Dwayne Johnson,c,,,0,7,7,11,,,,,19.94318091700552,,19.93219170899829,19.94318091700552,20.938902334019076,20.938902334019076,20.95029066700954,22.536167792015476,1.1066666666666667,2.588951999990968,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Allan Carter,un,,,0,8,8,23,,,,,22.54723366702092,,22.53638829200645,22.54723366702092,23.53892691701185,23.53892691701185,23.550699584011454,25.682733666995773,4.995555555555556,3.1273377090110444,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Amelia O'Brien,un,,,0,9,9,19,,,,,25.69414970901562,,25.682954999996582,25.69414970901562,26.689736166998046,26.689736166998046,26.700912625005003,28.620816750015365,4.973333333333334,2.9220497499918565,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Stephen King,cs,,,0,10,10,3,,,,,28.632707834010944,,28.621051875001285,28.632707834010944,29.622898208996048,29.622898208996048,29.63389762499719,31.986599167023087,1.0,3.350007667002501,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Rita Mulaney,un,,,0,11,11,20,,,,,31.997065625007963,,31.986819459008984,31.997065625007963,32.990432959020836,32.990432959020836,33.00147250000737,34.665685875021154,4.542222222222222,2.6615681250113994,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
James Bond,cs,,,0,12,12,6,,,,,34.67653812500066,,34.665907334012445,34.67653812500066,35.672552125004586,35.672552125004586,35.68358150002314,37.48303758399561,1.0666666666666667,2.7989898750092834,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Garcia Rodiguez,un,,,0,13,13,21,,,,,37.49476858400158,,37.4832741249993,37.49476858400158,38.489052417018684,38.489052417018684,38.50094925001031,40.136532875010744,4.902222222222222,2.63780004097498,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Lindsay Lohan,c,,,0,14,14,14,,,,,40.14707875001477,,40.13675287499791,40.14707875001477,41.1399427090073,41.1399427090073,41.15112320901244,45.03249033400789,1.8444444444444446,4.8793621249787975,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Vin Diesel,cs,,,0,15,15,1,,,,,45.043860292003956,,45.032714875007514,45.043860292003956,46.04030308400979,46.04030308400979,46.05228425000678,47.47030137499678,1.0844444444444445,2.4228229169966653,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Tom Cruise,cs,,,0,16,16,4,,,,,47.48103495899704,,47.47052516700933,47.48103495899704,48.47375674999785,48.47375674999785,48.48483887501061,50.75534000000334,1.0933333333333333,3.269525874988176,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
Jennifer Aniston,c,,,0,17,17,16,,,,,50.76705079199746,,50.75556362501811,50.76705079199746,51.759206584014464,51.759206584014464,51.76969079201808,52.53820425001322,1.0933333333333333,1.7676281669992022,,,,,,,,,,,,Participant 8 Madhav,001,2023-11-26_16h05.54.056,soloprojectsharanya,2023.2.1,None,2023-11-26 16h06.16.737155 +0530,
