study_words,con,test_words,cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,studytext.started,slider.started,Fixation.stopped,trial.stopped,slider.response,slider.rt,instruction.started,text_2.started,text_2.stopped,instruction.stopped,test.started,text.started,key_resp.started,test.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
James Bond,cs,,,0,0,0,6,,,,,0.0276238749793265,,0.015297665988327935,0.0276238749793265,1.0204161249857862,1.0204161249857862,1.031364707974717,7.284627457993338,1.0177777777777777,7.249943667004118,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Emma Stone,cs,,,0,1,1,5,,,,,7.296517624985427,,7.285039207985392,7.296517624985427,8.293642790988088,8.293642790988088,8.307385957974475,10.230600957991555,1.0177777777777777,2.930236749991309,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Christiano Ronaldo,c,,,0,2,2,13,,,,,10.243519832991296,,10.230821374978404,10.243519832991296,11.232884332974209,11.232884332974209,11.2440257499984,12.675855832989328,1.0222222222222221,2.425996874982957,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
daniel carr,un,,,0,3,3,17,,,,,12.687266415974591,,12.676076124975225,12.687266415974591,13.683461207983783,13.683461207983783,13.694374915998196,16.463202082988573,3.9733333333333336,3.772104208008386,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
John Legend,cs,,,0,4,4,9,,,,,16.474510332976934,,16.46342495799763,16.474510332976934,17.46727041597478,17.46727041597478,17.47819008299848,20.259270582988393,4.915555555555556,3.778200624976307,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Rita Mulaney,un,,,0,5,5,20,,,,,20.27161712499219,,20.259507707989542,20.27161712499219,21.263249457988422,21.263249457988422,21.273568040982354,23.89306745797512,3.942222222222222,3.6148909170005936,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Kate Winslow,c,,,0,6,6,10,,,,,23.904583457973786,,23.89328824999393,23.904583457973786,24.89967820799211,24.89967820799211,24.91086720797466,27.959925665985793,4.777777777777778,4.048178708006162,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Terrence Peterson,un,,,0,7,7,22,,,,,27.97183783299988,,27.960145915974863,27.97183783299988,28.965349624981172,28.965349624981172,28.97682574999635,31.12623904098291,4.004444444444444,3.147675124986563,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Allan Carter,un,,,0,8,8,23,,,,,31.138068374973955,,31.126461457984988,31.138068374973955,32.13340779099963,32.13340779099963,32.14472237500013,34.347561540984316,4.964444444444444,3.2058833749906626,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
Vin Diesel,cs,,,0,9,9,1,,,,,34.375255290971836,,34.347793540975545,34.375255290971836,35.34828470798675,35.34828470798675,35.3751526659762,37.48064424999757,1.0,3.117530417017406,,,,,,,,,,,,Participant 9 Bhavya,001,2023-11-26_16h11.47.368,soloprojectsharanya,2023.2.1,None,2023-11-26 16h12.06.706272 +0530,
