pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.031078999978490174,,0.014279749942943454,0.031078999978490174,1.0246343750040978,1.0246343750040978,1.0246343750040978,1.0246343750040978,1.0327503749867901,1.9937228750204667,1.9937228750204667,2.893185666995123,x,1,0.8774747080169618,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
150,v,0,1,1,1,,,,,2.8991781669901684,,2.8942982079461217,2.8991781669901684,3.8890402920078486,3.8890402920078486,3.8890402920078486,3.8890402920078486,3.898189082974568,4.885356124956161,4.885356124956161,5.867655041976832,v,1,0.9803629580419511,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
50,c,0,2,2,2,,,,,5.877169249928556,,5.868519000010565,5.877169249928556,6.8615958750015125,6.8615958750015125,6.8615958750015125,6.8615958750015125,6.871380249969661,7.860446041915566,7.860446041915566,8.727398207993247,c,1,0.8594762079883367,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
-150,z,0,3,3,3,,,,,8.734525208012201,,8.728274707915261,8.734525208012201,9.722743457998149,9.722743457998149,9.722743457998149,9.722743457998149,9.731678707990795,10.718333291937597,10.718333291937597,11.501158208004199,z,1,0.7800228749401867,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
-50,x,1,0,4,0,,,,,11.509997957968153,,11.501990249962546,11.509997957968153,12.504060041974299,12.504060041974299,12.504060041974299,12.504060041974299,12.504060041974299,13.494036042015068,13.494036042015068,14.184717791969888,x,1,0.6839837910374627,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
150,v,1,1,5,1,,,,,14.193342583021149,,14.18550233298447,14.193342583021149,15.187470749951899,15.187470749951899,15.187470749951899,15.187470749951899,15.187470749951899,16.17731958301738,16.17731958301738,17.011316500022076,v,1,0.8312939578900114,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
50,c,1,2,6,2,,,,,17.01814012497198,,17.0121448750142,17.01814012497198,18.005745416972786,18.005745416972786,18.005745416972786,18.005745416972786,18.014864458004013,19.010703249950893,19.010703249950893,19.868005582946353,c,1,0.8525668330257758,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
-150,z,1,3,7,3,,,,,19.877387917018496,,19.868935249978676,19.877387917018496,20.87123116699513,20.87123116699513,20.87123116699513,20.87123116699513,20.87123116699513,21.860710666980594,21.860710666980594,22.61092008301057,z,1,0.7475157920271158,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
-50,x,2,0,8,0,,,,,22.616516917012632,,22.611751458025537,22.616516917012632,23.60527133301366,23.60527133301366,23.60527133301366,23.60527133301366,23.61423287494108,24.602397916954942,24.602397916954942,25.278207583003677,x,1,0.6699761250056326,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
150,v,2,1,9,1,,,,,25.285333374980837,,25.279051832971163,25.285333374980837,26.27295462496113,26.27295462496113,26.27295462496113,26.27295462496113,26.281440624967217,27.27745762502309,27.27745762502309,28.001013499917462,v,1,0.717532749986276,None,sharanya,001,2023-10-09_12h22.37.184,sequence learning ,2023.2.1,None,2023-10-09 12h22.55.614670 +0530,
